frame,timestamp,L,a,b,agtron_interpolado,origem_video
127,4.128,167.179,129.929,130.889,94.304,v1
128,4.16,169.386,129.714,130.746,94.297,v1
129,4.192,169.194,130.067,130.817,94.289,v1
130,4.228,167.076,131.249,131.506,94.281,v1
131,4.26,168.345,131.782,131.833,94.273,v1
132,4.292,168.159,131.709,131.536,94.265,v1
133,4.324,168.554,131.186,131.686,94.258,v1
134,4.356,168.312,131.274,131.486,94.25,v1
135,4.392,168.576,131.202,131.692,94.242,v1
136,4.424,168.274,131.206,130.784,94.234,v1
137,4.456,168.981,130.82,130.968,94.227,v1
138,4.488,170.212,130.504,131.223,94.219,v1
139,4.52,170.976,130.271,130.948,94.212,v1
140,4.556,172.241,129.709,130.602,94.203,v1
141,4.588,172.309,129.442,130.696,94.196,v1
142,4.62,172.066,129.379,130.395,94.188,v1
143,4.652,172.352,129.406,130.345,94.18,v1
144,4.684,172.659,129.387,129.931,94.173,v1
145,4.716,172.727,129.264,130.211,94.165,v1
146,4.752,172.613,129.237,129.862,94.157,v1
147,4.784,172.902,128.751,130.315,94.149,v1
148,4.816,172.964,128.926,129.861,94.142,v1
149,4.848,174.336,128.919,129.586,94.134,v1
150,4.88,174.189,129.035,130.001,94.127,v1
151,4.916,173.768,129.232,129.837,94.118,v1
152,4.948,174.891,129.205,130.141,94.111,v1
153,4.98,174.696,129.439,130.009,94.103,v1
154,5.012,174.78,129.436,130.309,94.095,v1
155,5.044,175.017,129.795,130.059,94.088,v1
156,5.08,175.053,129.53,130.506,94.079,v1
157,5.112,174.758,129.681,130.799,94.072,v1
158,5.144,174.912,129.592,130.882,94.064,v1
159,5.176,175.33,129.723,130.444,94.057,v1
160,5.208,175.384,129.923,130.38,94.049,v1
161,5.24,175.615,129.525,130.678,94.042,v1
162,5.276,175.748,129.509,130.426,94.033,v1
163,5.308,175.751,129.712,130.289,94.026,v1
164,5.34,176.282,129.24,130.378,94.018,v1
165,5.372,176.556,129.309,130.129,94.01,v1
166,5.404,176.716,129.246,129.753,94.003,v1
167,5.44,176.952,129.064,129.77,93.994,v1
168,5.472,176.901,128.947,129.724,93.987,v1
169,5.504,177.26,128.739,129.304,93.979,v1
170,5.536,177.086,128.822,129.647,93.972,v1
171,5.568,177.161,128.629,129.661,93.964,v1
172,5.604,176.253,128.759,129.278,93.956,v1
173,5.636,175.711,128.69,129.103,93.948,v1
174,5.668,175.711,128.842,129.288,93.941,v1
175,5.7,176.497,128.382,130.053,93.933,v1
