frame,timestamp,L,a,b,agtron_interpolado,origem_video
127,4.128,160.268,129.606,130.166,94.099,v1
128,4.16,161.913,129.549,130.069,94.09,v1
129,4.192,160.963,129.725,130.17,94.081,v1
130,4.228,157.639,130.764,130.616,94.071,v1
131,4.26,157.389,131.122,130.818,94.062,v1
132,4.292,158.164,130.817,130.823,94.053,v1
133,4.324,159.084,130.67,130.821,94.044,v1
134,4.356,158.43,130.723,130.547,94.036,v1
135,4.392,159.067,130.443,130.745,94.026,v1
136,4.424,159.581,130.456,130.279,94.017,v1
137,4.456,161.356,130.143,130.302,94.008,v1
138,4.488,161.87,129.996,130.339,93.999,v1
139,4.52,161.592,129.81,130.172,93.99,v1
140,4.556,162.531,129.293,129.882,93.98,v1
141,4.588,162.969,129.08,129.906,93.971,v1
142,4.62,162.587,128.963,129.686,93.962,v1
143,4.652,162.551,129.013,129.683,93.953,v1
144,4.684,162.485,128.934,129.586,93.944,v1
145,4.716,162.005,128.94,129.546,93.935,v1
146,4.752,161.971,128.734,129.476,93.925,v1
147,4.784,162.139,128.368,129.644,93.917,v1
148,4.816,161.982,128.593,129.335,93.908,v1
149,4.848,164.199,128.525,129.176,93.899,v1
150,4.88,163.367,128.638,129.408,93.89,v1
151,4.916,163.864,128.651,129.362,93.88,v1
152,4.948,165.555,128.854,129.477,93.871,v1
153,4.98,165.508,128.888,129.528,93.862,v1
154,5.012,164.728,129.025,129.702,93.853,v1
155,5.044,164.679,129.367,129.52,93.844,v1
156,5.08,163.982,129.174,129.836,93.834,v1
157,5.112,163.948,129.227,129.978,93.825,v1
158,5.144,164.51,129.451,129.83,93.816,v1
159,5.176,164.263,129.325,129.785,93.808,v1
160,5.208,164.155,129.521,129.74,93.799,v1
161,5.24,164.369,129.392,129.746,93.79,v1
162,5.276,164.694,129.292,129.738,93.78,v1
163,5.308,164.684,129.275,129.582,93.771,v1
164,5.34,164.295,128.851,129.674,93.762,v1
165,5.372,164.269,128.916,129.538,93.753,v1
166,5.404,165.353,128.946,129.161,93.744,v1
167,5.44,166.546,128.695,129.3,93.734,v1
168,5.472,166.561,128.405,129.37,93.725,v1
169,5.504,166.587,128.333,129.133,93.716,v1
170,5.536,167.009,128.23,129.267,93.707,v1
171,5.568,167.195,128.04,129.285,93.699,v1
172,5.604,166.54,128.389,129.04,93.689,v1
173,5.636,166.369,128.232,128.825,93.68,v1
174,5.668,166.423,128.343,128.847,93.671,v1
175,5.7,167.281,127.931,129.27,93.662,v1
176,5.732,166.757,128.157,129.083,93.653,v1
177,5.764,166.363,128.154,129.063,93.644,v1
178,5.8,165.79,128.063,128.964,93.634,v1
179,5.832,165.828,128.222,129.026,93.625,v1
180,5.864,165.23,128.126,129.118,93.616,v1
181,5.896,165.071,128.028,129.057,93.607,v1
182,5.928,165.559,128.142,128.824,93.598,v1
183,5.964,165.349,127.956,129.316,93.588,v1
184,5.996,165.623,128.201,129.32,93.579,v1
185,6.028,165.565,128.476,129.336,93.571,v1
186,6.06,166.051,128.489,129.311,93.562,v1
187,6.092,166.169,128.584,129.189,93.553,v1
188,6.128,165.708,128.467,129.515,93.543,v1
189,6.16,165.71,128.38,129.481,93.534,v1
190,6.192,165.966,128.338,129.288,93.525,v1
191,6.224,165.834,128.365,129.085,93.516,v1
192,6.256,165.516,128.612,128.905,93.507,v1
193,6.288,165.401,128.518,129.316,93.498,v1
194,6.324,165.577,128.653,129.275,93.488,v1
195,6.356,165.742,128.431,129.357,93.479,v1
196,6.388,166.057,128.485,129.186,93.47,v1
197,6.42,164.63,128.651,129.24,93.462,v1
198,6.452,164.706,128.439,129.316,93.453,v1
199,6.488,165.091,128.584,129.35,93.443,v1
200,6.52,165.819,128.663,129.338,93.434,v1
201,6.552,165.247,128.795,129.371,93.425,v1
202,6.584,165.031,128.86,129.692,93.416,v1
203,6.616,166.243,128.912,129.463,93.407,v1
204,6.652,166.842,129.106,129.572,93.397,v1
205,6.684,165.923,129.135,129.385,93.388,v1
206,6.716,164.897,128.95,129.534,93.379,v1
207,6.748,165.295,129.291,129.673,93.37,v1
208,6.78,165.895,129.334,129.83,93.361,v1
209,6.812,162.879,129.204,129.905,93.353,v1
210,6.848,162.266,129.287,129.928,93.343,v1
211,6.88,160.428,129.302,130.043,93.334,v1
212,6.912,160.439,129.654,129.841,93.325,v1
213,6.944,159.664,129.599,129.847,93.316,v1
214,6.976,158.66,129.777,129.84,93.307,v1
215,7.012,156.168,129.746,130.035,93.297,v1
216,7.044,155.607,129.8,130.148,93.288,v1
217,7.076,156.604,129.954,129.997,93.279,v1
218,7.108,157.918,129.843,130.106,93.27,v1
219,7.14,158.399,129.711,130.014,93.261,v1
220,7.176,158.329,129.954,130.052,93.251,v1
221,7.208,158.61,129.664,130.357,93.242,v1
222,7.24,158.005,129.594,130.494,93.234,v1
223,7.272,158.985,129.889,130.216,93.225,v1
224,7.304,157.632,129.901,130.066,93.216,v1
225,7.336,157.455,130.188,130.436,93.207,v1
226,7.372,158.701,129.779,130.053,93.197,v1
227,7.404,154.204,129.783,130.041,93.188,v1
228,7.436,155.447,130.108,130.04,93.179,v1
229,7.468,157.097,129.827,130.292,93.17,v1
230,7.5,156.558,129.79,130.419,93.161,v1
231,7.536,157.661,130.032,130.44,93.151,v1
232,7.568,158.941,129.861,130.646,93.142,v1
233,7.6,156.072,129.597,130.158,93.133,v1
234,7.632,154.954,129.731,130.472,93.125,v1
235,7.664,155.275,129.585,130.204,93.116,v1
236,7.7,155.999,129.755,130.312,93.106,v1
237,7.732,156.148,129.444,130.332,93.097,v1
238,7.764,156.114,129.528,130.101,93.088,v1
239,7.796,156.232,129.382,130.277,93.079,v1
240,7.828,156.146,129.422,130.263,93.07,v1
241,7.86,155.841,129.434,130.377,93.061,v1
242,7.896,156.577,129.341,130.194,93.051,v1
243,7.928,156.151,129.697,130.085,93.042,v1
244,7.96,154.854,129.425,130.264,93.033,v1
245,7.992,154.883,129.544,130.172,93.024,v1
246,8.024,156.222,129.706,130.048,93.016,v1
247,8.06,157.782,129.909,129.96,93.006,v1
248,8.092,156.669,129.742,130.149,92.997,v1
249,8.124,156.428,129.833,130.253,92.988,v1
250,8.156,154.788,129.751,130.209,92.979,v1
251,8.188,153.238,129.28,130.186,92.97,v1
252,8.224,154.239,129.44,130.268,92.96,v1
253,8.256,155.107,129.564,130.255,92.951,v1
254,8.288,156.085,129.664,130.056,92.942,v1
255,8.32,155.396,129.613,130.089,92.933,v1
256,8.352,154.942,129.495,130.141,92.924,v1
257,8.384,154.93,129.74,130.023,92.915,v1
258,8.42,152.874,129.694,130.028,92.905,v1
259,8.452,152.4,129.834,129.944,92.896,v1
260,8.484,152.239,129.735,130.087,92.888,v1
261,8.516,152.571,129.514,130.186,92.879,v1
262,8.548,154.702,129.479,130.056,92.87,v1
263,8.584,155.487,129.433,130.041,92.86,v1
264,8.616,154.003,129.76,130.218,92.851,v1
265,8.648,154.724,129.709,129.912,92.842,v1
266,8.68,158.026,129.527,129.925,92.833,v1
267,8.712,157.898,129.599,129.912,92.824,v1
268,8.748,156.804,129.58,130.064,92.814,v1
269,8.78,156.863,129.899,130.11,92.805,v1
270,8.812,155.987,129.425,130.151,92.796,v1
271,8.844,156.498,129.266,130.248,92.787,v1
272,8.876,156.383,129.058,129.849,92.779,v1
273,8.908,156.904,129.266,130.033,92.77,v1
274,8.944,157.303,129.647,130.113,92.76,v1
275,8.976,157.135,129.284,130.159,92.751,v1
276,9.008,156.679,129.504,129.88,92.742,v1
277,9.04,155.108,129.392,129.728,92.733,v1
278,9.072,155.436,129.473,129.963,92.724,v1
279,9.108,156.934,129.41,129.922,92.714,v1
280,9.14,156.494,129.374,130.204,92.705,v1
281,9.172,156.665,129.351,129.701,92.696,v1
282,9.204,157.285,129.521,130.018,92.687,v1
283,9.236,157.777,129.868,129.826,92.678,v1
284,9.272,156.56,129.45,129.9,92.668,v1
285,9.304,156.31,129.281,129.937,92.66,v1
286,9.336,156.999,129.436,129.611,92.651,v1
287,9.368,156.625,129.215,129.573,92.642,v1
288,9.4,155.763,128.883,129.878,92.633,v1
289,9.432,156.362,129.198,129.654,92.624,v1
290,9.468,156.789,129.448,129.559,92.614,v1
291,9.5,157.159,129.473,129.925,92.605,v1
292,9.532,156.518,129.295,129.953,92.596,v1
293,9.564,157.236,129.634,130.062,92.587,v1
294,9.596,156.852,129.76,129.98,92.578,v1
295,9.632,156.209,129.609,130.075,92.568,v1
296,9.664,155.477,129.405,130.108,92.559,v1
297,9.696,156.056,129.696,130.181,92.551,v1
298,9.728,154.869,129.764,130.019,92.542,v1
299,9.76,154.311,129.697,130.243,92.533,v1
300,9.796,155.039,129.77,130.246,92.523,v1
301,9.828,156.141,129.587,130.242,92.514,v1
302,9.86,156.69,129.811,130.168,92.505,v1
303,9.892,154.637,129.58,130.333,92.496,v1
304,9.924,155.253,129.598,130.287,92.487,v1
305,9.956,156.503,129.658,130.257,92.478,v1
306,9.992,155.639,129.474,130.39,92.468,v1
307,10.024,155.926,129.52,130.472,92.459,v1
308,10.056,155.739,129.724,130.431,92.45,v1
309,10.088,156.204,129.302,130.487,92.442,v1
310,10.12,156.426,129.612,130.528,92.433,v1
311,10.156,155.889,129.626,130.577,92.423,v1
312,10.188,155.372,129.951,129.994,92.414,v1
313,10.22,155.443,129.897,130.175,92.405,v1
314,10.252,155.874,129.649,130.33,92.396,v1
315,10.284,154.34,129.548,130.485,92.387,v1
316,10.32,156.352,129.468,130.258,92.377,v1
317,10.352,156.196,129.624,130.445,92.368,v1
318,10.384,157.487,129.676,130.406,92.359,v1
319,10.416,155.722,129.468,130.474,92.35,v1
320,10.448,154.879,129.603,130.289,92.341,v1
321,10.48,156.785,129.771,129.884,92.333,v1
322,10.516,156.742,129.703,129.87,92.323,v1
323,10.548,157.698,129.305,129.898,92.314,v1
324,10.58,156.599,129.232,130.179,92.305,v1
