frame,timestamp,L,a,b,fase
168,5.472,176.901,128.947,129.724,
169,5.504,177.26,128.739,129.304,
170,5.536,177.086,128.822,129.647,
171,5.568,177.161,128.629,129.661,
172,5.604,176.253,128.759,129.278,
173,5.636,175.711,128.69,129.103,
174,5.668,175.711,128.842,129.288,
175,5.7,176.497,128.382,130.053,
176,5.732,175.905,128.736,129.461,
177,5.764,175.955,128.814,129.588,
178,5.8,176.153,128.759,129.448,
179,5.832,176.425,128.802,129.604,
180,5.864,176.392,128.916,129.695,
181,5.896,175.671,128.808,129.669,
182,5.928,175.692,129.012,129.275,
183,5.964,175.49,128.795,130.012,
184,5.996,175.757,129.056,129.94,
185,6.028,175.328,129.102,130.097,
186,6.06,174.78,129.22,129.893,
187,6.092,174.413,129.225,129.638,
188,6.128,174.382,129.165,129.843,
189,6.16,175.409,128.98,130.016,
190,6.192,175.489,128.964,129.847,
191,6.224,175.605,129.08,129.792,
192,6.256,175.979,129.208,129.565,
193,6.288,175.474,129.152,129.952,
194,6.324,175.202,129.211,129.855,
195,6.356,175.394,128.945,130.108,
196,6.388,175.469,129.093,129.948,
197,6.42,175.198,129.142,129.893,
198,6.452,175.169,129.099,129.976,
199,6.488,174.97,129.225,129.817,
200,6.52,174.923,129.358,129.952,
201,6.552,174.419,129.353,130.034,
202,6.584,174.162,129.727,129.887,
203,6.616,173.97,129.396,130.339,
204,6.652,173.785,129.782,130.322,
205,6.684,173.867,129.574,130.424,
206,6.716,174.317,129.449,130.688,
207,6.748,174.223,129.849,130.405,
208,6.78,174.735,130.05,130.402,
209,6.812,172.203,129.778,130.675,
210,6.848,172.194,129.925,130.577,
211,6.88,171.613,129.968,130.901,
212,6.912,171.144,130.347,130.796,
213,6.944,170.616,130.41,130.65,
214,6.976,170.102,130.559,130.793,
215,7.012,166.829,130.374,131.128,
216,7.044,166.519,130.572,131.182,
217,7.076,166.293,130.654,131.118,
218,7.108,166.585,130.643,131.049,
219,7.14,166.531,130.462,131.015,
220,7.176,166.385,130.468,131.174,
221,7.208,165.919,130.256,131.402,
222,7.24,166.056,130.262,131.299,
223,7.272,165.836,130.715,131.0,
224,7.304,166.467,130.784,130.808,
225,7.336,166.03,131.218,130.997,
226,7.372,166.344,130.723,131.058,
227,7.404,161.848,130.521,130.897,
228,7.436,161.694,130.744,130.783,
229,7.468,161.518,130.357,131.06,
230,7.5,161.17,130.312,131.217,
231,7.536,161.515,130.53,130.922,
232,7.568,162.291,130.458,131.337,
233,7.6,161.428,130.513,130.553,
234,7.632,161.918,130.552,130.953,
235,7.664,163.889,130.293,130.85,
236,7.7,164.031,130.438,131.106,
237,7.732,165.712,130.061,131.162,
238,7.764,166.214,130.225,130.712,
239,7.796,166.64,130.009,130.753,
240,7.828,166.613,130.002,130.763,
241,7.86,167.155,130.089,131.15,
242,7.896,167.409,129.837,131.083,
243,7.928,166.767,130.193,131.045,
244,7.96,166.398,130.116,131.015,
245,7.992,165.811,130.382,130.919,
246,8.024,165.752,130.599,130.698,
247,8.06,166.036,130.626,131.029,
248,8.092,166.037,130.782,130.786,
249,8.124,166.45,130.609,130.885,
250,8.156,166.009,130.629,131.003,
251,8.188,165.508,130.22,130.996,
252,8.224,166.231,130.161,130.894,
253,8.256,166.714,130.366,130.877,
254,8.288,165.742,130.632,130.694,
255,8.32,165.477,130.632,130.869,
256,8.352,164.871,130.423,131.114,
257,8.384,163.562,130.695,130.844,
258,8.42,162.73,130.796,131.169,
259,8.452,163.163,131.077,130.924,
260,8.484,162.711,131.047,131.053,
261,8.516,163.474,130.673,131.36,
262,8.548,163.128,130.772,131.304,
263,8.584,163.622,130.676,131.363,
264,8.616,163.876,130.92,131.317,
265,8.648,164.941,130.838,131.218,
266,8.68,165.963,130.754,131.11,
267,8.712,165.363,130.833,131.124,
268,8.748,165.779,130.512,131.122,
269,8.78,166.066,130.91,130.907,
270,8.812,165.365,130.506,131.041,
271,8.844,164.999,129.936,131.48,
272,8.876,164.684,129.987,130.766,
273,8.908,164.734,130.122,131.051,
274,8.944,165.677,130.296,131.062,
275,8.976,164.9,130.119,131.094,
276,9.008,165.167,130.395,130.763,
277,9.04,163.644,130.32,130.544,
278,9.072,163.381,130.253,130.644,
279,9.108,164.121,129.954,130.791,
280,9.14,164.262,130.123,130.668,
281,9.172,163.945,130.439,130.335,
282,9.204,163.417,130.422,130.693,
283,9.236,163.504,130.635,130.551,
284,9.272,164.006,130.113,130.763,
285,9.304,164.066,129.935,130.823,
286,9.336,164.69,130.331,130.311,
287,9.368,164.749,130.156,130.362,
288,9.4,164.734,129.903,130.574,
289,9.432,164.436,130.22,130.4,
290,9.468,164.558,130.457,130.275,
291,9.5,164.253,130.249,130.805,
292,9.532,161.856,130.126,130.813,
293,9.564,161.223,130.507,130.67,
294,9.596,160.485,130.594,130.882,
295,9.632,160.862,130.403,130.835,
296,9.664,161.356,130.301,131.002,
297,9.696,160.392,130.553,130.883,
298,9.728,161.084,130.552,131.037,
299,9.76,160.256,130.484,130.941,
300,9.796,160.937,130.567,130.904,
301,9.828,160.564,130.333,130.834,
302,9.86,160.327,130.546,130.729,
303,9.892,159.741,130.422,130.821,
304,9.924,160.392,130.295,130.986,
305,9.956,160.922,130.307,130.844,
306,9.992,161.271,130.271,131.122,
307,10.024,161.718,130.187,131.346,
308,10.056,163.493,130.308,131.302,
309,10.088,165.672,130.238,131.394,
310,10.12,164.486,130.377,131.374,
311,10.156,163.964,130.385,131.183,
312,10.188,163.792,130.412,130.816,
313,10.22,162.031,130.292,130.868,
314,10.252,162.526,130.372,130.941,
315,10.284,164.066,130.286,131.2,
316,10.32,165.584,130.373,130.996,
317,10.352,164.357,130.398,130.823,
318,10.384,164.742,130.344,131.028,
319,10.416,164.99,130.407,131.224,
320,10.448,165.331,130.357,131.056,
321,10.48,166.059,130.393,130.664,
322,10.516,165.949,130.416,130.88,
323,10.548,165.958,130.227,130.712,
324,10.58,165.941,130.123,130.928,
325,10.612,165.675,130.153,131.102,
326,10.644,164.575,130.551,130.81,
327,10.68,165.703,130.054,130.927,
328,10.712,165.523,129.966,130.804,
329,10.744,165.464,130.341,130.686,
330,10.776,165.874,130.442,130.772,
331,10.808,166.348,130.003,131.088,
332,10.844,165.658,130.26,130.522,
333,10.876,165.693,130.026,131.042,
334,10.908,165.662,129.719,130.795,
335,10.94,165.555,130.085,130.589,
336,10.972,164.319,129.811,130.578,
337,11.004,165.148,130.038,130.713,
338,11.04,167.166,129.84,130.807,
339,11.072,166.959,129.953,130.429,
340,11.104,167.753,129.519,130.499,
341,11.136,167.683,129.457,130.283,
342,11.168,167.431,129.684,130.051,
343,11.204,166.638,129.449,130.38,
344,11.236,166.858,129.555,130.182,
345,11.268,166.684,129.447,129.816,
346,11.3,167.76,129.493,129.781,
347,11.332,166.39,129.617,130.146,
348,11.368,167.159,129.604,130.369,
349,11.4,168.536,129.384,130.543,
350,11.432,167.913,129.532,130.211,
351,11.464,167.832,129.804,130.504,
352,11.496,167.179,130.161,130.839,
353,11.528,166.625,130.032,131.082,
354,11.564,165.686,130.082,130.859,
355,11.596,167.304,130.105,131.063,
356,11.628,165.498,130.057,130.843,
357,11.66,164.769,130.139,130.692,
358,11.692,164.601,130.235,130.883,
359,11.728,165.888,130.236,130.906,
360,11.76,166.282,130.137,130.934,
361,11.792,165.619,130.017,130.663,
362,11.824,164.823,130.257,131.034,
363,11.856,165.082,130.087,130.971,
364,11.892,165.047,130.584,130.917,
365,11.924,165.568,130.321,131.15,
366,11.956,165.799,130.493,130.835,
367,11.988,165.708,130.32,130.948,
368,12.02,165.421,130.427,130.68,
369,12.052,165.118,130.557,130.916,
370,12.088,165.361,130.562,130.791,
371,12.12,165.211,130.146,130.985,
372,12.152,164.99,130.316,131.438,
373,12.184,163.593,130.616,131.152,
374,12.216,163.429,130.282,131.28,
375,12.252,164.495,130.725,130.715,
376,12.284,164.494,130.534,131.156,
377,12.316,164.593,130.434,130.968,
378,12.348,164.481,130.31,131.218,
379,12.38,164.05,130.561,131.121,
380,12.416,164.689,130.287,131.395,
381,12.448,164.554,129.985,131.231,
382,12.48,165.283,129.836,131.019,
383,12.512,165.449,129.642,130.979,
384,12.544,165.909,129.7,131.151,
385,12.576,165.122,129.809,130.902,
386,12.612,166.616,129.831,130.578,
387,12.644,166.912,129.661,130.653,
